"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.52317430264001e-07,87,2027,"Regulation of intracellular signal transduction ","LGALS9 MAP2K3 FLT4 IRAK3 LTBR GDF15 SESN2 GPR65 PIK3R5 NOD2 MLKL BCL2L1 GPR4 SPRY4 CPNE1 FZD7 MSX1 TREM2 IL10RA PTPN6 GPS2 ARRB2 EPHA2 SCIMP SERPINF2 TNIP2 RELA TLR6 CARD9 S100A4 TLR7 C5AR1 DENND4B HSPA1A ADRA2B GIPR SIPA1L3 MCF2L FGD3 CHRNA10 CHI3L1 C5AR2 HAVCR2 PRDM15 VAV1 SH2B2 SYK HAP1 PTPN2 HCLS1 NPY2R STK40 ADA CARD11 ITSN2 SIPA1 BCL3 TNFRSF10B FGR PTBP1 PLAUR HDAC7 SH3BP1 RASAL3 NOP2 MAPKBP1 RCN3 NCF1 NUPR1 AXIN1 GMIP ARHGAP4 BMF JAK3 CD86 CXCR4 ARHGAP9 TRIP10 IRAK2 BCL2L11 BANP ARHGAP45 CHEK2 IRS2 ARHGAP30 ARAP1 SRGAP2"
1.52317430264001e-07,65,1325,"Regulation of immune response ","SASH3 C5AR2 TNFRSF14 FCER1G SH2B2 SYK TLR6 FES TLR7 C5AR1 MICB GRN CYBA CD84 LAT2 HAVCR2 NOD2 LGALS9 RELA LILRA2 FGR SLC11A1 TNFRSF1B IRAK3 TNFSF13B PTPN6 GPS2 IRAK2 HLX CMTM3 ARRB2 VAV1 VSIG4 C1QC TNIP2 INPP5D PTAFR KLHL6 C1QB C1QA PTPN2 CARD9 ADA CARD11 NFAM1 WAS NFATC2 VAMP8 HSPA1A STXBP2 JAK3 SLAMF8 CD86 CREBBP TYROBP TREM2 HCK RELB SIGLEC9 ARPC1B IFNGR2 RUNX1 LAIR1 SIGLEC7 MUC6"
1.83957151719851e-07,41,647,"Myeloid leukocyte mediated immunity ","SYK FES CD84 FGR LAT2 FCER1G PTAFR STXBP2 VAMP8 LGALS9 PLAUR TYROBP SLC11A1 RNASET2 TNFRSF1B GRN CYBA TSPAN14 TCIRG1 PTPN6 LRMP ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
2.0740390070577e-07,77,1715,"Secretion by cell ","RHBDF2 TNFRSF14 SYK FES CD84 VAMP8 FURIN NOD2 LGALS9 CLECL1 LILRA2 FGR GIPR TNFRSF1B POU2F2 STXBP2 LAT2 SIRT4 BIRC5 SLC17A9 HCK TNFSF13B SLC1A5 GIT1 TCIRG1 KMO CHI3L1 HAVCR2 MICAL1 FCER1G PTAFR HAP1 TLR6 IL17RA NPY2R IRS2 CARD11 PIM3 TREM2 C5AR2 MAPKBP1 RCN3 GRK2 ADRA2B PLAUR TYROBP SLC11A1 RNASET2 GRN CYBA TSPAN14 PTPN6 LRMP ARHGAP9 SIGLEC9 SLC38A2 SLC2A5 LHFPL2 DOK3 FERMT3 CDA LAIR1 SERPINF2 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 TOR4A HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
2.1475312779611e-07,102,2561,"Response to external stimulus ","SEMA3F SLC11A1 LTBR CD86 PROC CXCR4 SESN2 ZSWIM4 CD180 EPHA2 TNFRSF14 FCER1G CCR5 TNFAIP8L2 SYK NOD2 SEMA6B TLR6 FES PALM3 TLR7 GPSM3 IRAK3 STAB1 GRN CYBA BCL3 SSH1 ANGPT2 GNLY GDF15 PLA2G7 SERPINF2 RNASE2 RNASE3 IFNLR1 SPN MICB P2RY11 FGR TNFRSF1B NFKB2 TREM2 IL10RA KMO BATF3 VASP CHRNA10 GPS2 IRAK2 SLC38A2 C5AR2 HAVCR2 AOAH CMTM3 ARRB2 VAV1 GNRH1 BCL2L11 CMTM7 BATF IFNGR2 CCDC88B TNIP2 LGALS9 PTAFR FOXA3 PPM1D BCL2L1 CEBPB IL16 KLHL6 RELA C1QA PTPN2 NUPR1 IL17RA CDH4 SSTR2 CARD9 EIF4EBP1 ADA C5AR1 SIPA1 CEBPA TNFRSF10B CHI3L1 RIPOR1 VAMP8 MAPKBP1 LILRA2 SIGLEC10 VSIG4 SLAMF8 GIPR PLAUR HCK DOK1 SPTBN5 C1QC C1QB IRS2"
2.1475312779611e-07,129,3529,"Regulation of signal transduction ","LGALS9 MAP2K3 FLT4 IRAK3 LTBR G0S2 RHBDF2 GDF15 SESN2 CD180 GPR65 TLE3 PIK3R5 NOD2 MLKL BCL2L1 GPR4 SPRY4 PALM3 ADA CPNE1 AXIN1 FZD7 MSX1 AGPAT2 CYBA TREM2 IL10RA PTPN6 KLK14 GPS2 ARRB2 EPHA2 SCIMP SERPINF2 TMC8 TNIP2 RELA TLR6 CARD9 S100A4 TLR7 C5AR1 DENND4B HSPA1A ADRA2B GIPR GRN MNT SSH1 ARHGAP4 ZMYND8 TNFSF13B LHB EBI3 SIPA1L3 WNT5B MCF2L FGD3 CHRNA10 CHI3L1 IRAK2 C5AR2 HAVCR2 FURIN CMTM3 OSGIN1 PRDM15 VAV1 GNRH1 CMTM7 SLA SH2B2 CREBRF SYK INPP5D CHST11 RGS19 IL16 GRK2 HAP1 PTPN2 HCLS1 NPY2R FZD9 STK40 CARD11 ITSN2 SIPA1 NFAM1 SHANK3 BCL3 TNFRSF10B BCL2L11 SIAH2 FGR CREBBP PTBP1 PLAUR HDAC7 SH3BP1 RASAL3 TSPAN14 NOP2 CHAC1 MAPKBP1 RCN3 NCF1 DEDD2 NUPR1 LILRA2 BMF GMIP JAK3 GIT1 CD86 DOK1 CXCR4 ARHGAP9 TRIP10 IFNGR2 RUNX1 BANP ARHGAP45 CHEK2 IRS2 ARHGAP30 ARAP1 SRGAP2"
2.1475312779611e-07,25,274,"Regulation of mononuclear cell proliferation ","JAK3 CD86 SASH3 TNFRSF14 SYK LGALS9 CLECL1 LST1 TYROBP TNFRSF1B TNFSF13B PTPN6 HAVCR2 GNRH1 VSIG4 CCDC88B INPP5D CEBPB IRS2 ADA CARD11 NFATC2 RASAL3 SPN EBI3"
2.1475312779611e-07,28,338,"Lymphocyte proliferation ","JAK3 CD86 SASH3 CD180 TNFRSF14 SYK LGALS9 CLECL1 LST1 TYROBP SLC11A1 TNFRSF1B ELF4 TNFSF13B EBI3 PTPN6 HAVCR2 GNRH1 VSIG4 CCDC88B INPP5D CEBPB IRS2 ADA CARD11 NFATC2 RASAL3 SPN"
2.1475312779611e-07,25,273,"Regulation of lymphocyte proliferation ","JAK3 CD86 SASH3 TNFRSF14 SYK LGALS9 CLECL1 LST1 TYROBP TNFRSF1B TNFSF13B PTPN6 HAVCR2 GNRH1 VSIG4 CCDC88B INPP5D CEBPB IRS2 ADA CARD11 NFATC2 RASAL3 SPN EBI3"
2.1475312779611e-07,29,360,"Leukocyte proliferation ","JAK3 CD86 SASH3 CD180 TNFRSF14 SYK LGALS9 CLECL1 LST1 TYROBP SLC11A1 TNFRSF1B ELF4 TNFSF13B EBI3 TCIRG1 PTPN6 HAVCR2 GNRH1 VSIG4 CCDC88B INPP5D CEBPB IRS2 ADA CARD11 NFATC2 RASAL3 SPN"
2.31947098546177e-07,28,340,"Mononuclear cell proliferation ","JAK3 CD86 SASH3 CD180 TNFRSF14 SYK LGALS9 CLECL1 LST1 TYROBP SLC11A1 TNFRSF1B ELF4 TNFSF13B EBI3 PTPN6 HAVCR2 GNRH1 VSIG4 CCDC88B INPP5D CEBPB IRS2 ADA CARD11 NFATC2 RASAL3 SPN"
2.71528412965361e-07,38,583,"Neutrophil activation involved in immune response ","FCER1G SYK LILRA2 TYROBP PTAFR STXBP2 FGR PLAUR SLC11A1 RNASET2 TNFRSF1B GRN CYBA TSPAN14 TCIRG1 PTPN6 LRMP VAMP8 ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
4.10164334169191e-07,25,284,"Regulation of leukocyte proliferation ","JAK3 CD86 SASH3 TNFRSF14 SYK LGALS9 CLECL1 LST1 TYROBP TNFRSF1B TNFSF13B PTPN6 HAVCR2 GNRH1 VSIG4 CCDC88B INPP5D CEBPB IRS2 ADA CARD11 NFATC2 RASAL3 SPN EBI3"
4.22401361674626e-07,38,594,"Neutrophil activation ","FCER1G SYK GRN LILRA2 TYROBP PTAFR STXBP2 FGR PLAUR SLC11A1 RNASET2 TNFRSF1B CYBA TSPAN14 TCIRG1 PTPN6 LRMP VAMP8 ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
4.22401361674626e-07,62,1278,"Cellular response to cytokine stimulus ","IRAK3 JAK3 IL10RA IRAK2 IFNGR2 SH2B2 IFNLR1 PALM3 CPNE1 AGPAT2 SPI1 TREM2 CXCR4 PLVAP LGALS9 RELA CEBPA WAS TNFRSF1B CYBA STXBP2 EBI3 TCIRG1 DOK1 KMO GPS2 CHI3L1 PARP16 IL2RG FCER1G CCR5 LAPTM5 CREBRF SYK STIP1 TNIP2 CEBPB PTPN2 IL17RA IL3RA SPRY4 IL15RA RPS6KA4 HCLS1 HSPA1A BIRC5 HCK TNFSF13B LTBR PTPN6 CD86 VAV1 BATF TNFRSF14 RUNX1 NOD2 INPP5D PTAFR BCL2L1 IL16 IRS2 IFI30"
4.24601007097611e-07,65,1372,"Response to cytokine ","IRAK3 RELB JAK3 IL10RA IRAK2 IFNGR2 SH2B2 RELA IFNLR1 PALM3 CPNE1 AGPAT2 SPI1 TREM2 CXCR4 PLVAP LGALS9 BCL2L1 CEBPA WAS SLC11A1 TNFRSF1B CYBA STXBP2 NFKB2 EBI3 TCIRG1 DOK1 KMO GPS2 CHI3L1 PARP16 IL2RG FCER1G CCR5 LAPTM5 CREBRF SYK STIP1 TNIP2 CEBPB PTPN2 IL17RA IL3RA SPRY4 IL15RA RPS6KA4 HCLS1 HSPA1A BIRC5 HCK TNFSF13B LTBR PTPN6 CD86 VAV1 BATF TNFRSF14 RUNX1 NOD2 INPP5D PTAFR IL16 IRS2 IFI30"
5.53868695389433e-07,34,499,"Regulation of lymphocyte activation ","JAK3 CD86 SASH3 TNFRSF14 TNFAIP8L2 SYK HAVCR2 NOD2 LGALS9 CLECL1 CARD11 LST1 TYROBP TNFRSF1B TNFSF13B PTPN6 HLX GNRH1 VSIG4 CCDC88B TNIP2 INPP5D CEBPB PTPN2 IRS2 ADA SPN NFAM1 NFATC2 RASAL3 SLAMF8 RUNX1 EBI3 VAV1"
5.72479925794454e-07,38,603,"Granulocyte activation ","FCER1G SYK GRN LILRA2 TYROBP PTAFR STXBP2 FGR PLAUR SLC11A1 RNASET2 TNFRSF1B CYBA TSPAN14 TCIRG1 PTPN6 LRMP VAMP8 ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
5.72479925794454e-07,37,577,"Neutrophil degranulation ","SYK PTAFR STXBP2 FGR PLAUR TYROBP SLC11A1 RNASET2 TNFRSF1B GRN CYBA TSPAN14 TCIRG1 PTPN6 LRMP VAMP8 ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA FCER1G LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
5.72479925794454e-07,52,991,"Positive regulation of immune response ","SASH3 C5AR2 TNFRSF14 FCER1G SH2B2 SYK TLR6 TLR7 C5AR1 MICB CYBA LAT2 NOD2 LGALS9 RELA LILRA2 FGR SLC11A1 IRAK3 TNFSF13B PTPN6 GPS2 IRAK2 HAVCR2 HLX CMTM3 ARRB2 VAV1 VSIG4 C1QC TNIP2 PTAFR KLHL6 C1QB C1QA PTPN2 CARD9 ADA NFAM1 NFATC2 VAMP8 HSPA1A CD86 CREBBP WAS HCK RELB ARPC1B RUNX1 INPP5D MUC6 CARD11"
9.97135820530315e-07,34,513,"Adaptive immune response ","SASH3 FCER1G SYK MICB TNFRSF14 SPN SLC11A1 TNFRSF1B POU2F2 CD84 BCL3 NFKB2 LAT2 TNFSF13B RELB JAK3 TCIRG1 PTPN6 CD86 HAVCR2 HLX SIGLEC10 BATF C1QC LAIR1 INPP5D KLHL6 C1QB C1QA ADA LILRB3 ORAI1 WAS EBI3"
9.97135820530315e-07,79,1861,"Secretion ","RHBDF2 TNFRSF14 SYK FES CD84 VAMP8 FURIN NOD2 LGALS9 CLECL1 LILRA2 FGR GIPR TNFRSF1B POU2F2 CYBA STXBP2 LAT2 SIRT4 BIRC5 SLC17A9 HCK TNFSF13B SLC1A5 GIT1 TCIRG1 KMO CHI3L1 HAVCR2 MICAL1 FCER1G PROCA1 PTAFR HAP1 TLR6 IL17RA NPY2R IRS2 ADA CARD11 PIM3 TREM2 C5AR2 MAPKBP1 RCN3 GRK2 ADRA2B PLAUR TYROBP SLC11A1 RNASET2 GRN TSPAN14 PTPN6 LRMP ARHGAP9 SIGLEC9 SLC38A2 SLC2A5 LHFPL2 DOK3 FERMT3 CDA LAIR1 SERPINF2 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 TOR4A HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
1.01280110126001e-06,37,591,"Neutrophil mediated immunity ","SYK PTAFR STXBP2 FGR PLAUR TYROBP SLC11A1 RNASET2 TNFRSF1B GRN CYBA TSPAN14 TCIRG1 PTPN6 LRMP VAMP8 ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 DOK3 CDA FCER1G LAIR1 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
1.09177558823054e-06,136,3903,"Regulation of cell communication ","LGALS9 MAP2K3 FLT4 IRAK3 LTBR G0S2 RHBDF2 GDF15 SESN2 CD180 GPR65 TLE3 PIK3R5 NOD2 MLKL BCL2L1 GPR4 SPRY4 PALM3 ADA CPNE1 AXIN1 FZD7 MSX1 AGPAT2 CYBA TREM2 IL10RA PTPN6 KLK14 GPS2 ARRB2 EPHA2 SCIMP SERPINF2 TMC8 TNIP2 RELA TLR6 CARD9 S100A4 TLR7 C5AR1 DENND4B HSPA1A ADRA2B GIPR TYROBP GRN MNT SSH1 SIRT4 BIRC5 ARHGAP4 ZMYND8 TNFSF13B LHB EBI3 SIPA1L3 GIT1 TCIRG1 WNT5B KMO MCF2L FGD3 CHRNA10 CHI3L1 IRAK2 C5AR2 HAVCR2 FURIN CMTM3 OSGIN1 PRDM15 VAV1 GNRH1 CMTM7 SLA SH2B2 CREBRF SYK INPP5D CHST11 RGS19 IL16 GRK2 HAP1 PTPN2 HCLS1 NPY2R IRS2 FZD9 STK40 CARD11 PIM3 ITSN2 SIPA1 NFAM1 SHANK3 BCL3 TNFRSF10B BCL2L11 SIAH2 FGR CREBBP PTBP1 PLAUR HDAC7 SH3BP1 RASAL3 TSPAN14 NOP2 VAMP8 CHAC1 MAPKBP1 RCN3 NCF1 DEDD2 NUPR1 LILRA2 BMF GMIP JAK3 CD86 DOK1 CXCR4 ARHGAP9 TRIP10 IFNGR2 RUNX1 BANP ARHGAP45 CHEK2 ARHGAP30 ARAP1 SRGAP2"
1.23913507989774e-06,48,901,"Regulated exocytosis ","SYK FES CD84 FGR LAT2 GIT1 MICAL1 FCER1G PTAFR STXBP2 VAMP8 LGALS9 PLAUR TYROBP SLC11A1 RNASET2 TNFRSF1B GRN CYBA HCK TSPAN14 TCIRG1 PTPN6 LRMP ARHGAP9 SIGLEC9 CHI3L1 SLC2A5 LHFPL2 DOK3 FERMT3 CDA LAIR1 SERPINF2 RNASE2 RNASE3 AGPAT2 HSPA6 ARHGAP45 DGAT1 SERPINA1 C5AR1 TOR4A HSPA1A LILRB3 CPNE1 NFAM1 SIGLEC14"
1.38648794286279e-06,53,1052,"Response to other organism ","SLC11A1 CD86 CD180 TNFRSF14 FCER1G NOD2 TLR6 PALM3 TLR7 IRAK3 STAB1 CYBA BCL3 GNLY RNASE2 RNASE3 IFNLR1 SPN MICB FGR TNFRSF1B NFKB2 TREM2 IL10RA KMO BATF3 IRAK2 HAVCR2 EPHA2 GNRH1 BCL2L11 BATF IFNGR2 SYK CCDC88B TNIP2 PTAFR PPM1D BCL2L1 CEBPB KLHL6 RELA IL17RA CARD9 C5AR1 CCR5 MAPKBP1 LGALS9 LILRA2 GRN SLAMF8 HCK CXCR4"
1.38655963432326e-06,43,763,"Activation of immune response ","C5AR2 FCER1G SH2B2 SYK TLR6 TLR7 C5AR1 CYBA LAT2 NOD2 RELA MICB LILRA2 IRAK3 PTPN6 GPS2 IRAK2 HAVCR2 CMTM3 ARRB2 VSIG4 C1QC TNIP2 KLHL6 C1QB C1QA PTPN2 ADA NFAM1 NFATC2 HSPA1A FGR CREBBP WAS HCK RELB ARPC1B VAV1 RUNX1 INPP5D MUC6 CARD9 CARD11"
1.42658135594065e-06,53,1054,"Response to external biotic stimulus ","SLC11A1 CD86 CD180 TNFRSF14 FCER1G NOD2 TLR6 PALM3 TLR7 IRAK3 STAB1 CYBA BCL3 GNLY RNASE2 RNASE3 IFNLR1 SPN MICB FGR TNFRSF1B NFKB2 TREM2 IL10RA KMO BATF3 IRAK2 HAVCR2 EPHA2 GNRH1 BCL2L11 BATF IFNGR2 SYK CCDC88B TNIP2 PTAFR PPM1D BCL2L1 CEBPB KLHL6 RELA IL17RA CARD9 C5AR1 CCR5 MAPKBP1 LGALS9 LILRA2 GRN SLAMF8 HCK CXCR4"
1.45983575656419e-06,18,164,"Regulation of interleukin-6 production ","TLR7 CYBA NOD2 LILRA2 TYROBP IRAK3 TREM2 PTPN6 HAVCR2 ARRB2 FCER1G INPP5D PTAFR CEBPB CARD9 C5AR2 LGALS9 TLR6"
1.8408630598524e-06,75,1762,"Positive regulation of signal transduction ","LGALS9 MAP2K3 FLT4 LTBR G0S2 GDF15 CD180 GPR65 PIK3R5 NOD2 MLKL GPR4 CPNE1 FZD7 MSX1 AGPAT2 CYBA TREM2 IL10RA KLK14 ARRB2 SCIMP SERPINF2 TNIP2 RELA TLR6 CARD9 S100A4 TLR7 C5AR1 ADRA2B GIPR SSH1 ARHGAP4 GPS2 CHI3L1 C5AR2 HAVCR2 CMTM3 PRDM15 SLA SH2B2 CREBRF SYK HAP1 PTPN2 HCLS1 FZD9 ADA CARD11 ITSN2 NFAM1 SHANK3 TNFRSF10B BCL2L11 FGR CREBBP PTBP1 PLAUR TSPAN14 PTPN6 NCF1 DEDD2 NUPR1 HSPA1A AXIN1 BMF CD86 DOK1 CXCR4 IRAK2 VAV1 BCL2L1 IRS2 ARAP1"
1.8408630598524e-06,39,662,"Immune response-activating signal transduction ","C5AR2 FCER1G SH2B2 SYK TLR6 TLR7 C5AR1 CYBA LAT2 NOD2 RELA MICB LILRA2 IRAK3 PTPN6 GPS2 IRAK2 HAVCR2 CMTM3 ARRB2 TNIP2 KLHL6 PTPN2 ADA NFAM1 NFATC2 HSPA1A FGR CREBBP WAS HCK RELB ARPC1B VAV1 RUNX1 INPP5D MUC6 CARD9 CARD11"
1.8408630598524e-06,121,3382,"Regulation of multicellular organismal process ","SEMA3F SSH1 IRAK3 PROC ZSWIM4 SSH2 TNFRSF14 FCER1G SYK SEMA6B ASCL2 MAFF TLR7 MAFG GPSM3 GRN CYBA HDAC7 CD84 ANGPT2 NFATC2 SRPX2 HAVCR2 FURIN C1QC NOD2 SERPINF2 LGALS9 CEBPB IL17RA TMEM119 SPN ITSN2 MAFB LILRB3 CPNE1 LILRA2 SRGAP2 ADRA2B FGR TYROBP SLC11A1 TNFRSF1B MAP2K3 FLT4 JADE2 TBXAS1 BCL3 ARHGAP4 TREM2 ZMYND8 TCIRG1 PTPN6 CXCR4 SASH3 G0S2 GDF15 ZBTB46 KDM6B CHI3L1 HLX TLE3 ARRB2 EPHA2 GNRH1 TBX6 BCL2L11 VSIG4 MSX1 SPINT1 CCDC88B INPP5D PTAFR GRK2 RELA C1QA HAP1 TLR6 PTPN2 NUPR1 GPR4 CDH4 HCLS1 SSTR2 NPY2R CARD9 FZD9 ADA C5AR1 CARD11 NFAM1 ETV5 CEBPA SHANK3 E2F2 FZD7 STAB1 SPI1 SH3BP1 RELB VAMP8 C5AR2 MAPKBP1 RUNX1 AGPAT2 FES HSPA1A FKBP4 JAK3 ESRRB SLAMF8 CD86 CREBBP PLAUR NFKB2 KCNK6 EBI3 TMIGD3 MYBPH RPS6KA4 ADORA3"
1.88021845886879e-06,41,718,"Response to bacterium ","SLC11A1 CD86 CD180 TNFRSF14 FCER1G NOD2 TLR6 PALM3 STAB1 CYBA GNLY RNASE3 SPN FGR TNFRSF1B BCL3 NFKB2 IRAK3 TREM2 IL10RA KMO IRAK2 HAVCR2 EPHA2 GNRH1 SYK TNIP2 PTAFR PPM1D CEBPB KLHL6 RELA CARD9 C5AR1 CCR5 MAPKBP1 LGALS9 LILRA2 GRN SLAMF8 HCK"
2.00882455993363e-06,136,3952,"Regulation of signaling ","LGALS9 MAP2K3 FLT4 IRAK3 LTBR G0S2 RHBDF2 GDF15 SESN2 CD180 GPR65 TLE3 PIK3R5 NOD2 MLKL BCL2L1 GPR4 SPRY4 PALM3 ADA CPNE1 AXIN1 FZD7 MSX1 AGPAT2 CYBA TREM2 IL10RA PTPN6 KLK14 GPS2 ARRB2 EPHA2 SCIMP SERPINF2 TMC8 TNIP2 RELA TLR6 CARD9 S100A4 TLR7 C5AR1 DENND4B HSPA1A ADRA2B GIPR TYROBP GRN MNT SSH1 SIRT4 BIRC5 ARHGAP4 ZMYND8 TNFSF13B LHB EBI3 SIPA1L3 GIT1 TCIRG1 WNT5B KMO MCF2L FGD3 CHRNA10 CHI3L1 IRAK2 C5AR2 HAVCR2 FURIN CMTM3 OSGIN1 PRDM15 VAV1 GNRH1 CMTM7 SLA SH2B2 CREBRF SYK INPP5D CHST11 RGS19 IL16 GRK2 HAP1 PTPN2 HCLS1 NPY2R IRS2 ARAP1 FZD9 STK40 CARD11 PIM3 ITSN2 SIPA1 NFAM1 SHANK3 BCL3 TNFRSF10B BCL2L11 SIAH2 FGR CREBBP PTBP1 PLAUR HDAC7 SH3BP1 RASAL3 TSPAN14 NOP2 VAMP8 CHAC1 MAPKBP1 RCN3 NCF1 DEDD2 NUPR1 LILRA2 BMF GMIP JAK3 CD86 DOK1 CXCR4 ARHGAP9 TRIP10 IFNGR2 RUNX1 BANP ARHGAP45 CHEK2 ARHGAP30 SRGAP2"
2.04205639905943e-06,49,950,"Cytokine-mediated signaling pathway ","IRAK3 JAK3 IL10RA IRAK2 IFNGR2 SH2B2 IFNLR1 PALM3 CPNE1 AGPAT2 SPI1 TREM2 CXCR4 PLVAP RELA CEBPA EBI3 DOK1 GPS2 IL2RG FCER1G CCR5 CREBRF SYK TNIP2 PTPN2 IL3RA IL15RA RPS6KA4 HSPA1A TNFRSF1B BIRC5 HCK TNFSF13B LTBR PTPN6 CD86 VAV1 BATF TNFRSF14 RUNX1 NOD2 INPP5D PTAFR BCL2L1 IL16 IL17RA IRS2 IFI30"
2.3806873757502e-06,27,363,"Regulation of leukocyte cell-cell adhesion ","JAK3 CD86 TNFRSF14 TNFAIP8L2 SYK HAVCR2 LGALS9 CLECL1 CARD11 TNFSF13B PTPN6 SASH3 HLX GNRH1 VSIG4 CCDC88B PTAFR CEBPB PTPN2 ADA RASAL3 RELA RUNX1 NOD2 SPN EBI3 VAV1"
2.70620285187285e-06,18,172,"Interleukin-6 production ","TLR7 CYBA NOD2 LILRA2 TYROBP IRAK3 TREM2 PTPN6 HAVCR2 ARRB2 FCER1G INPP5D PTAFR CEBPB CARD9 C5AR2 LGALS9 TLR6"
2.8667838262548e-06,47,903,"Regulation of response to external stimulus ","SEMA3F PROC ZSWIM4 CD180 FCER1G TNFAIP8L2 SYK SEMA6B GPSM3 NOD2 TLR7 GRN CYBA ANGPT2 PLA2G7 SERPINF2 IFNLR1 MICB TNFRSF1B TREM2 CXCR4 GPS2 HAVCR2 AOAH CEBPB IL16 RELA C1QA PTPN2 NUPR1 IL17RA ADA C5AR1 CEBPA VAMP8 C5AR2 MAPKBP1 LGALS9 LILRA2 SIGLEC10 VSIG4 SLAMF8 TLR6 PLAUR HCK C1QC C1QB"
2.88341861452162e-06,21,233,"Myeloid leukocyte differentiation ","LTBR C1QC LILRB3 TYROBP SPI1 RELB TCIRG1 BATF3 ZBTB46 EPHA2 BATF FCER1G INPP5D CEBPB PTPN2 HCLS1 MAFB CEBPA TREM2 RUNX1 FES"
2.91189971703565e-06,25,321,"Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains ","FCER1G MICB SPN SLC11A1 TNFRSF1B POU2F2 BCL3 NFKB2 TNFSF13B RELB TCIRG1 PTPN6 SASH3 HAVCR2 HLX BATF C1QC INPP5D KLHL6 C1QB C1QA ADA WAS JAK3 EBI3"
2.94004133058824e-06,36,596,"Positive regulation of cytokine production ","TNFRSF14 TLR7 GPSM3 CYBA FURIN NOD2 SERPINF2 LGALS9 IL17RA SPN LILRA2 FGR TYROBP SLC11A1 BCL3 SASH3 HAVCR2 FCER1G SYK CCDC88B PTAFR CEBPB RELA CARD9 C5AR1 CARD11 NFAM1 FLT4 RUNX1 AGPAT2 HSPA1A TLR6 CD86 CREBBP NFKB2 EBI3"
2.9666249144231e-06,53,1085,"Response to biotic stimulus ","SLC11A1 CD86 CD180 TNFRSF14 FCER1G NOD2 TLR6 PALM3 TLR7 IRAK3 STAB1 CYBA BCL3 GNLY RNASE2 RNASE3 IFNLR1 SPN MICB FGR TNFRSF1B NFKB2 TREM2 IL10RA KMO BATF3 IRAK2 HAVCR2 EPHA2 GNRH1 BCL2L11 BATF IFNGR2 SYK CCDC88B TNIP2 PTAFR PPM1D BCL2L1 CEBPB KLHL6 RELA IL17RA CARD9 C5AR1 CCR5 MAPKBP1 LGALS9 LILRA2 GRN SLAMF8 HCK CXCR4"
3.9967443091475e-06,6,12,"Response to peptidoglycan ","NOD2 IRAK3 TREM2 CARD9 C5AR1 RELA"
3.9967443091475e-06,30,448,"Regulation of inflammatory response ","TNFAIP8L2 GPSM3 NOD2 TLR7 GRN TNFRSF1B TREM2 GPS2 AOAH FCER1G CEBPB RELA C1QA PTPN2 NUPR1 IL17RA ADA C5AR1 CEBPA PROC VAMP8 SIGLEC10 VSIG4 SLAMF8 TLR6 HCK C5AR2 PLA2G7 C1QC C1QB"
4.04058992985113e-06,28,399,"Leukocyte cell-cell adhesion ","JAK3 CD86 TNFRSF14 TNFAIP8L2 SYK HAVCR2 LGALS9 CLECL1 CARD11 TNFSF13B PTPN6 SASH3 HLX GNRH1 FERMT3 VSIG4 CCDC88B PTAFR CEBPB PTPN2 ADA RASAL3 RELA RUNX1 NOD2 SPN EBI3 VAV1"
4.0416659797461e-06,17,159,"Alpha-beta T cell activation ","TNFRSF14 SYK LGALS9 SPN BCL3 ELF4 RELB TCIRG1 SASH3 HLX BATF ADA RASAL3 JAK3 RUNX1 CD86 EBI3"
